batch_id,station,cycle_time_s,station_util,queue_len,downtime_hours,scrap_count,rework_count,scrap_cost,downtime_cost,unit_value
B0016,Welding,54.07,0.8733,19.65,0.981,6,4,116.55,353.39,93.94
B0016,Assembly,61.08,0.9162,21.13,1.072,11,7,114.14,336.0,93.43
B0016,Packing,26.19,0.6308,2.94,0.284,1,1,112.19,323.99,96.27
B0017,Cutting,41.89,0.7135,4.43,0.562,4,1,114.68,338.09,95.14
B0017,Welding,49.7,0.8326,18.36,0.766,7,3,122.07,337.45,94.14
B0017,Assembly,60.51,0.9483,29.09,1.202,6,7,114.43,342.55,94.5
B0017,Packing,27.45,0.5874,3.59,0.365,1,1,115.74,344.48,95.65
B0018,Cutting,38.53,0.7481,6.88,0.462,4,2,115.38,343.51,98.49
B0018,Welding,52.13,0.8657,18.19,0.821,7,4,117.92,331.98,96.67
B0018,Assembly,60.43,0.9723,38.02,1.313,6,10,116.04,355.4,98.24
B0018,Packing,29.01,0.6259,2.9,0.253,1,1,119.38,341.86,96.26
B0019,Cutting,40.79,0.7382,6.91,0.538,4,2,121.14,352.4,95.16
B0019,Welding,53.91,0.8579,14.89,0.937,7,3,118.74,352.57,93.44
B0019,Assembly,67.5,0.9178,28.83,1.001,8,9,120.65,352.21,96.03
B0019,Packing,29.44,0.6302,2.7,0.329,1,1,115.09,355.42,94.74
B0020,Cutting,44.16,0.7124,6.46,0.783,4,2,113.89,341.82,97.99
B0020,Welding,53.28,0.8315,17.38,0.861,8,4,119.11,347.87,98.78
B0020,Assembly,59.29,0.9126,39.17,1.506,12,9,117.37,334.32,95.71
B0020,Packing,28.86,0.6209,3.85,0.281,1,1,115.63,324.46,93.79
B0021,Cutting,39.31,0.7331,5.88,0.563,4,2,112.11,326.03,97.72
B0021,Welding,54.38,0.8581,15.15,0.678,4,3,116.22,339.63,98.41
B0021,Assembly,63.96,0.9226,30.16,0.974,8,7,115.41,341.88,95.08
B0021,Packing,26.07,0.5913,3.23,0.287,1,1,122.14,352.99,96.85
B0022,Cutting,38.56,0.6966,8.56,0.54,3,2,115.5,343.65,96.76
B0022,Welding,55.89,0.8583,21.53,0.846,7,3,120.5,350.39,97.39
B0022,Assembly,66.53,0.9223,24.17,1.584,7,5,112.97,326.55,96.18
B0022,Packing,25.97,0.6214,3.55,0.361,2,1,112.8,348.63,93.93
B0023,Cutting,39.53,0.7442,5.43,0.398,4,2,117.96,330.29,93.44
B0023,Welding,52.91,0.851,15.96,1.143,6,4,118.92,327.55,97.71
B0023,Assembly,60.52,0.9471,31.88,1.154,12,4,118.13,329.2,96.31
B0023,Packing,26.2,0.604,2.19,0.199,2,1,115.67,340.86,97.91
B0024,Cutting,43.23,0.739,6.84,0.667,2,3,113.57,332.28,94.26
B0024,Welding,53.01,0.8431,12.62,0.891,4,4,114.04,355.77,94.03
B0024,Assembly,64.26,0.9771,41.3,1.873,12,7,120.52,337.89,95.14
B0024,Packing,25.77,0.6045,3.85,0.329,1,1,121.99,336.61,93.59
B0025,Cutting,41.33,0.7417,6.77,0.638,5,2,118.14,342.66,94.37
B0025,Welding,54.48,0.8384,22.74,0.92,5,4,112.37,328.04,94.56
B0025,Assembly,60.97,0.9772,26.41,1.279,5,8,123.29,327.44,95.45
B0025,Packing,29.53,0.6186,2.72,0.28,2,0,114.49,354.67,95.23
B0026,Cutting,43.3,0.7338,7.33,0.754,4,2,114.25,339.44,97.63
B0026,Welding,50.88,0.8283,18.64,0.788,8,4,121.78,350.46,97.04
B0026,Assembly,62.64,0.9704,34.6,1.84,9,7,115.1,323.11,96.35
B0026,Packing,28.25,0.5876,3.32,0.196,1,1,122.63,334.6,98.0
B0027,Cutting,40.72,0.7363,5.95,0.553,3,3,112.63,331.19,96.05
B0027,Welding,48.91,0.8424,23.26,0.978,3,6,113.75,331.78,97.22
B0027,Assembly,60.27,0.9469,35.13,0.779,5,8,112.81,331.36,93.93
B0027,Packing,30.04,0.602,2.11,0.297,1,1,122.17,341.12,94.15
B0028,Cutting,42.74,0.723,7.3,0.774,3,2,120.43,328.31,95.33
B0028,Welding,52.16,0.8527,21.06,1.005,4,3,115.16,341.2,95.48
B0028,Assembly,67.91,0.9554,35.77,1.938,10,8,117.64,338.57,97.05
B0028,Packing,28.18,0.6088,2.56,0.185,1,1,118.08,350.08,97.56
B0029,Cutting,38.1,0.7081,6.7,0.469,3,3,121.76,337.69,97.11
B0029,Welding,49.36,0.8859,18.99,1.52,3,4,123.2,352.93,93.76
B0029,Assembly,63.3,0.973,23.56,0.849,10,9,113.74,348.02,96.8
B0029,Packing,29.27,0.6202,2.98,0.208,1,1,119.14,340.64,95.14
B0030,Cutting,40.62,0.7091,4.75,0.362,2,3,120.32,347.08,97.3
B0030,Welding,54.72,0.8438,23.68,0.741,4,5,112.68,353.7,93.63
B0030,Assembly,61.78,0.9382,21.03,1.021,7,7,116.9,351.04,97.34
B0030,Packing,29.5,0.6163,3.77,0.297,1,1,120.12,325.62,94.35
B0031,Cutting,37.85,0.7029,5.01,0.641,2,3,116.26,323.52,94.08
B0031,Welding,49.27,0.85,22.03,1.412,4,5,112.41,353.99,98.76
B0031,Assembly,61.5,0.9773,21.25,0.945,7,6,121.18,349.14,96.38
B0031,Packing,26.03,0.6134,3.09,0.402,1,1,123.48,331.96,95.42
B0032,Cutting,43.84,0.7307,6.14,0.555,2,3,117.09,333.59,97.46
B0032,Welding,52.25,0.8356,20.67,1.307,7,4,118.51,339.49,97.13
B0032,Assembly,61.22,0.9097,37.52,0.88,11,11,117.61,340.3,95.4
B0032,Packing,29.97,0.6001,3.15,0.293,1,1,117.67,349.16,94.8
B0033,Cutting,38.52,0.7439,8.52,0.534,3,3,112.93,339.76,94.32
B0033,Welding,51.33,0.8342,20.68,1.443,8,5,123.14,331.93,97.61
B0033,Assembly,61.02,0.9266,36.26,0.875,6,7,119.87,355.97,93.41
B0033,Packing,25.83,0.6321,2.71,0.406,1,0,117.14,346.46,96.85
B0034,Cutting,38.42,0.7377,5.21,0.369,2,2,113.17,345.3,94.31
B0034,Welding,48.91,0.8594,21.63,0.908,5,3,118.93,335.78,93.28
B0034,Assembly,68.89,0.9175,33.71,0.841,5,8,121.56,344.25,95.74
B0034,Packing,28.46,0.5946,2.54,0.429,1,1,113.85,331.98,94.12
B0035,Cutting,38.15,0.7075,7.41,0.537,4,2,114.25,337.99,93.26
B0035,Welding,51.49,0.8863,12.5,0.784,3,5,120.76,336.16,97.33
B0035,Assembly,60.4,0.9607,40.24,1.269,7,11,119.89,346.86,97.76
B0035,Packing,26.96,0.6276,4.04,0.191,2,1,112.92,325.77,96.17
B0036,Cutting,38.18,0.719,5.62,0.484,4,3,119.82,331.97,98.44
B0036,Welding,49.86,0.8412,22.87,0.614,8,4,120.68,353.72,98.55
B0036,Assembly,65.28,0.9071,29.2,1.46,7,8,118.07,339.05,95.71
B0036,Packing,29.86,0.6126,2.09,0.362,2,1,115.76,332.49,97.65
B0037,Cutting,39.39,0.7459,4.61,0.448,4,2,114.17,326.97,98.0
B0037,Welding,51.63,0.8591,17.9,0.739,4,4,122.72,352.5,94.54
B0037,Assembly,68.78,0.9735,37.17,1.177,10,9,120.63,344.03,96.16
B0037,Packing,29.92,0.6227,2.06,0.299,2,1,123.37,333.18,95.18
B0038,Cutting,38.39,0.7033,5.19,0.78,4,2,122.52,335.15,98.46
B0038,Welding,49.24,0.8681,22.54,1.059,4,3,116.38,339.52,98.17
B0038,Assembly,65.08,0.9671,41.51,0.871,8,9,114.28,340.48,98.55
B0038,Packing,27.67,0.6128,2.05,0.209,2,1,113.55,341.52,96.72
B0039,Cutting,37.84,0.7032,6.87,0.657,3,2,114.36,331.41,94.56
B0039,Welding,54.12,0.8436,20.92,1.174,7,5,116.61,326.02,98.38
B0039,Assembly,62.09,0.9555,31.35,1.907,7,11,112.48,345.82,95.63
B0039,Packing,27.62,0.5867,2.87,0.205,1,1,116.84,329.67,94.22
B0040,Cutting,41.66,0.7385,8.56,0.653,3,1,117.97,332.11,94.4
B0040,Welding,51.75,0.8271,21.32,0.7,5,4,118.64,341.9,98.61
B0040,Assembly,63.19,0.9575,38.78,0.888,7,9,112.64,330.93,95.42
B0040,Packing,29.37,0.5865,4.09,0.302,1,1,118.13,348.36,96.12
B0041,Cutting,38.17,0.7372,7.69,0.63,5,3,122.09,340.91,97.84
B0041,Welding,49.18,0.8804,20.02,1.427,3,5,115.43,334.14,95.99
B0041,Assembly,68.71,0.9081,40.75,1.129,7,11,119.2,337.54,98.4
B0041,Packing,26.15,0.5872,4.08,0.253,2,1,122.59,339.61,94.72
B0042,Cutting,38.1,0.7388,7.78,0.715,4,2,120.34,327.0,98.22
B0042,Welding,48.22,0.881,19.67,1.016,5,4,116.48,330.63,97.06
B0042,Assembly,63.13,0.9744,25.23,1.199,10,8,118.78,326.11,95.44
B0042,Packing,28.36,0.6287,4.16,0.297,2,0,122.04,324.27,96.82
B0043,Cutting,42.44,0.7351,8.36,0.635,3,2,115.66,344.93,93.28
B0043,Welding,53.47,0.8654,15.97,0.771,8,3,122.94,356.46,97.43
B0043,Assembly,61.45,0.9241,28.13,0.997,11,10,118.18,332.16,97.63
B0043,Packing,26.18,0.6145,4.11,0.418,2,1,117.62,332.37,94.64
B0044,Cutting,39.82,0.6956,8.76,0.442,4,3,112.24,337.49,98.71
B0044,Welding,53.37,0.8366,18.37,0.703,6,4,121.5,346.73,98.36
B0044,Assembly,58.89,0.9196,26.08,1.197,12,8,117.42,325.54,96.33
B0044,Packing,27.82,0.6098,2.15,0.246,1,1,116.27,353.48,97.84
B0045,Cutting,41.71,0.7338,6.05,0.458,2,3,121.11,354.24,95.98
B0045,Welding,54.35,0.8635,14.25,0.801,5,5,115.82,352.76,95.64
B0045,Assembly,64.62,0.9074,25.99,0.95,10,4,118.7,343.23,93.26
B0045,Packing,30.0,0.5867,2.86,0.169,1,1,121.01,335.44,95.19
B0046,Cutting,41.8,0.7393,4.67,0.755,3,3,121.72,355.16,95.66
B0046,Welding,55.94,0.8551,11.99,1.249,7,4,123.51,344.64,98.27
B0046,Assembly,66.82,0.9135,30.17,1.501,11,8,117.75,340.55,96.84
B0046,Packing,28.58,0.6243,3.05,0.315,1,1,120.29,350.63,94.24
B0047,Cutting,38.57,0.7222,7.49,0.435,2,2,118.97,339.43,94.09
B0047,Welding,53.7,0.8816,14.21,1.52,8,6,115.9,345.71,94.0
B0047,Assembly,63.96,0.9539,35.51,0.78,13,8,115.43,343.26,98.3
B0047,Packing,29.66,0.6132,3.44,0.224,2,1,118.51,351.36,97.47
B0048,Cutting,42.61,0.7249,5.85,0.324,2,2,122.65,351.21,97.06
B0048,Welding,50.64,0.8398,13.48,0.785,5,3,112.94,329.36,96.22
B0048,Assembly,65.84,0.9677,29.84,1.524,5,9,121.42,331.4,98.77
B0048,Packing,28.24,0.6194,2.51,0.279,1,0,118.11,342.73,95.96
B0049,Cutting,40.3,0.71,5.61,0.373,4,1,122.77,328.92,95.96
B0049,Welding,49.45,0.8627,23.47,1.486,5,4,121.08,352.12,93.73
B0049,Assembly,62.96,0.9575,37.4,1.486,6,4,113.54,334.87,94.39
B0049,Packing,27.42,0.588,3.99,0.29,1,1,114.81,332.02,93.89
B0050,Cutting,40.45,0.7304,7.69,0.583,2,3,123.83,326.17,96.69
B0050,Welding,53.86,0.8452,17.4,0.689,6,6,118.08,324.77,95.31
B0050,Assembly,68.81,0.9776,27.12,1.039,12,4,122.55,351.53,98.14
B0050,Packing,25.87,0.6165,3.71,0.173,1,1,117.36,344.9,95.13
B0051,Cutting,42.77,0.7027,5.18,0.543,2,3,112.71,342.92,98.63
B0051,Welding,50.3,0.8344,19.15,1.21,5,3,119.09,325.16,96.61
B0051,Assembly,59.0,0.9725,28.2,1.937,9,8,114.56,339.85,95.67
B0051,Packing,27.44,0.633,3.96,0.284,1,1,115.82,347.24,95.73
B0052,Cutting,38.63,0.7244,6.99,0.748,3,2,122.07,326.61,93.41
B0052,Welding,51.37,0.877,12.55,1.073,6,6,120.58,354.62,96.65
B0052,Assembly,66.34,0.9455,27.47,1.242,10,7,123.48,332.48,98.88
B0052,Packing,26.56,0.632,4.0,0.191,1,1,120.0,353.06,97.12
B0053,Cutting,40.35,0.696,6.71,0.673,3,2,117.39,323.96,95.93
B0053,Welding,52.46,0.8357,20.29,0.844,5,5,118.97,352.54,96.29
B0053,Assembly,61.3,0.9706,41.26,0.811,11,10,119.93,338.25,97.72
B0053,Packing,27.6,0.6057,2.19,0.263,2,1,115.51,354.34,98.8
B0054,Cutting,42.77,0.7401,8.02,0.43,3,3,122.42,334.66,97.99
B0054,Welding,56.05,0.8564,24.15,0.673,8,4,121.94,340.61,97.44
B0054,Assembly,63.94,0.9771,20.94,1.022,5,6,113.57,352.1,98.24
B0054,Packing,26.31,0.6321,2.41,0.3,1,1,113.22,349.49,94.86
B0055,Cutting,43.27,0.7133,8.55,0.608,4,2,117.57,352.74,93.43
B0055,Welding,49.06,0.8786,15.71,1.039,3,5,114.14,333.47,93.78
B0055,Assembly,60.47,0.9272,23.65,0.929,11,6,114.62,343.57,95.35
B0055,Packing,29.38,0.6278,3.95,0.321,2,1,117.97,326.19,97.4
B0056,Cutting,42.53,0.7379,6.29,0.466,3,2,121.25,328.95,97.05
B0056,Welding,52.09,0.8561,24.83,0.821,3,3,122.17,328.23,98.25
B0056,Assembly,64.79,0.9294,30.88,0.852,11,7,114.11,354.3,94.21
B0056,Packing,28.67,0.613,2.55,0.206,1,1,115.66,326.0,95.2
B0057,Cutting,43.82,0.7053,4.4,0.656,4,3,117.76,333.81,95.94
B0057,Welding,54.24,0.8675,22.37,1.267,7,4,119.85,331.53,95.86
B0057,Assembly,61.96,0.9442,41.54,1.456,6,4,122.27,342.29,94.21
B0057,Packing,29.72,0.5899,3.05,0.33,1,1,122.01,352.44,98.08
B0058,Cutting,43.97,0.7356,6.41,0.64,2,3,122.72,354.32,97.37
B0058,Welding,55.74,0.827,18.21,0.881,7,6,118.16,341.77,96.47
B0058,Assembly,66.67,0.9699,32.69,1.932,10,5,113.16,355.48,96.82
B0058,Packing,27.76,0.6086,4.06,0.32,1,1,115.29,356.43,93.75
B0059,Cutting,41.77,0.6996,4.7,0.498,3,3,118.04,346.18,96.83
B0059,Welding,50.64,0.8435,13.8,0.829,4,3,115.88,337.18,93.85
B0059,Assembly,60.43,0.9065,32.58,0.904,5,7,122.68,343.26,96.96
B0059,Packing,27.42,0.6144,2.41,0.245,2,1,118.12,336.17,96.35
B0060,Cutting,41.73,0.726,7.61,0.78,3,3,113.69,354.24,94.11
B0060,Welding,53.63,0.8584,15.05,1.333,6,6,114.08,325.76,94.1
B0060,Assembly,60.03,0.9766,37.04,1.758,10,5,118.56,350.41,95.0
B0060,Packing,25.94,0.6089,4.02,0.428,1,1,114.84,325.87,96.06
B0061,Cutting,43.78,0.714,4.43,0.538,3,4,115.85,345.55,93.5
B0061,Welding,51.55,0.8669,16.42,0.62,7,3,121.29,354.08,95.91
B0061,Assembly,65.65,0.9525,23.29,1.448,7,10,123.52,352.3,96.71
B0061,Packing,27.45,0.5883,3.73,0.23,2,1,118.4,348.79,98.81
B0062,Cutting,40.54,0.7353,5.22,0.536,3,2,115.81,343.31,97.2
B0062,Welding,55.74,0.8631,17.84,1.299,5,4,117.0,339.39,97.29
B0062,Assembly,66.59,0.9639,30.34,1.455,12,4,114.2,348.64,98.88
B0062,Packing,28.87,0.6037,3.46,0.334,1,1,113.04,331.27,95.14
B0063,Cutting,38.35,0.7053,7.5,0.729,2,2,122.7,341.45,96.92
B0063,Welding,48.39,0.835,24.6,0.692,4,4,121.31,323.37,94.09
B0063,Assembly,63.28,0.9088,30.95,1.136,7,8,119.95,349.19,94.33
B0063,Packing,25.94,0.6238,3.74,0.201,1,1,115.58,337.74,96.33
B0064,Cutting,41.41,0.7442,5.26,0.365,3,2,118.82,327.68,95.17
B0064,Welding,54.84,0.8621,17.71,0.957,6,2,115.03,341.21,96.03
B0064,Assembly,68.85,0.9738,28.35,1.728,6,6,123.55,351.11,97.12
B0064,Packing,28.31,0.5867,2.46,0.37,2,1,121.06,326.41,95.54
B0065,Cutting,43.16,0.6927,4.98,0.45,2,2,112.31,356.79,96.99
B0065,Welding,49.11,0.8898,18.36,1.303,6,5,113.7,349.58,93.24
B0065,Assembly,59.96,0.9194,29.7,1.888,11,6,122.58,343.14,95.34
B0065,Packing,27.03,0.6105,2.48,0.178,2,1,115.02,339.76,96.95
B0066,Cutting,39.27,0.7324,7.85,0.473,2,3,113.53,325.05,97.1
B0066,Welding,52.66,0.8667,23.41,1.43,7,3,121.78,350.09,96.48
B0066,Assembly,61.91,0.9521,32.19,1.248,11,6,115.51,344.91,96.82
B0066,Packing,25.83,0.5937,2.77,0.322,2,1,116.53,353.01,95.43
B0067,Cutting,41.26,0.735,6.38,0.693,3,1,115.92,356.81,96.38
B0067,Welding,53.37,0.8738,14.81,1.513,5,4,118.01,351.81,96.27
B0067,Assembly,60.86,0.9506,41.79,1.751,5,8,121.46,355.31,95.63
B0067,Packing,27.34,0.6166,2.59,0.392,2,1,122.69,325.37,94.37
B0068,Cutting,42.88,0.6974,5.33,0.436,2,4,117.37,328.93,98.04
B0068,Welding,54.34,0.8915,18.47,1.289,4,5,118.35,349.0,98.44
B0068,Assembly,64.42,0.9357,31.53,1.114,6,10,123.22,330.98,97.52
B0068,Packing,29.97,0.6066,3.07,0.167,2,1,113.95,344.13,98.22
B0069,Cutting,40.8,0.6972,6.27,0.347,3,3,119.14,351.13,98.06
B0069,Welding,48.58,0.8873,22.93,0.861,3,3,112.53,333.61,97.57
B0069,Assembly,61.17,0.9691,28.26,0.842,9,7,122.37,345.71,94.13
B0069,Packing,28.01,0.5878,3.55,0.284,1,1,122.97,343.91,97.09
B0070,Cutting,43.54,0.7294,6.32,0.378,2,3,112.64,328.13,94.95
B0070,Welding,52.95,0.872,24.53,1.017,4,3,113.62,346.02,93.97
B0070,Assembly,59.14,0.9773,32.49,1.775,7,4,121.8,329.41,97.1
B0070,Packing,27.67,0.6286,2.87,0.294,1,1,120.84,343.57,98.07
B0071,Cutting,37.73,0.7141,7.54,0.329,3,1,113.68,348.44,96.88
B0071,Welding,55.05,0.8384,15.88,1.412,6,6,118.46,328.66,96.36
B0071,Assembly,65.91,0.9772,33.21,1.899,5,4,117.95,333.28,93.78
B0071,Packing,25.95,0.5986,3.3,0.257,1,1,117.1,346.31,93.3
B0072,Cutting,42.05,0.7027,6.87,0.567,2,3,112.49,331.01,97.04
B0072,Welding,49.5,0.8523,12.84,1.228,8,4,116.1,334.07,95.62
B0072,Assembly,67.24,0.9228,35.65,1.249,6,4,121.24,328.94,97.19
B0072,Packing,27.55,0.6217,3.36,0.381,2,0,116.36,326.71,93.22
B0073,Cutting,41.85,0.7117,6.5,0.413,2,2,112.61,344.76,97.92
B0073,Welding,49.84,0.8497,12.09,1.387,3,4,123.47,328.25,95.72
B0073,Assembly,67.63,0.9542,27.67,0.853,5,9,113.56,327.22,97.24
B0073,Packing,25.82,0.6066,3.3,0.412,2,1,115.39,346.05,98.82
B0074,Cutting,41.0,0.7052,8.27,0.549,5,2,118.02,352.25,98.62
B0074,Welding,52.72,0.8342,24.04,0.613,4,4,117.15,352.57,98.28
B0074,Assembly,66.84,0.9615,35.17,1.313,7,8,120.14,324.06,93.39
B0074,Packing,29.88,0.6228,2.63,0.241,1,1,116.76,352.85,98.72
B0075,Cutting,39.75,0.7374,4.38,0.679,2,4,118.68,352.29,95.48
B0075,Welding,48.78,0.8478,14.42,1.233,6,4,123.67,325.89,96.07
B0075,Assembly,67.61,0.97,38.62,1.82,6,7,119.56,356.82,95.15
B0075,Packing,28.61,0.6013,2.66,0.414,1,1,112.92,353.67,97.74
B0076,Cutting,43.1,0.7141,7.24,0.719,5,3,114.18,337.46,95.94
B0076,Welding,54.04,0.8702,18.15,1.483,7,6,118.32,329.13,98.82
B0076,Assembly,63.61,0.903,23.71,1.836,10,5,114.25,351.65,98.86
B0076,Packing,29.19,0.624,3.75,0.425,1,1,115.25,335.94,95.83
B0077,Cutting,38.53,0.6917,7.08,0.679,2,3,115.64,342.98,94.57
B0077,Welding,48.46,0.8825,16.8,1.34,4,3,122.12,323.88,97.62
B0077,Assembly,67.8,0.9459,29.99,1.195,9,9,113.23,332.5,96.87
B0077,Packing,26.25,0.6212,3.44,0.249,1,1,118.03,343.47,94.56
B0078,Cutting,42.07,0.7053,5.31,0.331,4,2,121.74,353.52,94.1
B0078,Welding,51.12,0.879,12.14,0.913,4,2,115.95,324.56,98.39
B0078,Assembly,65.91,0.9217,25.03,1.389,12,10,118.11,327.53,97.69
B0078,Packing,29.3,0.6027,3.62,0.277,2,1,120.81,342.95,97.57
B0079,Cutting,43.03,0.7057,7.91,0.761,3,2,116.93,327.48,94.02
B0079,Welding,51.72,0.8595,21.1,1.331,6,4,120.37,323.88,96.56
B0079,Assembly,64.51,0.9604,28.62,1.093,8,10,118.75,339.97,98.21
B0079,Packing,30.17,0.6143,2.22,0.418,1,1,120.35,338.43,98.36
B0080,Cutting,39.8,0.7019,8.08,0.447,4,1,112.81,324.1,96.05
B0080,Welding,49.64,0.8877,13.46,1.384,6,2,117.63,335.96,98.81
B0080,Assembly,59.64,0.9522,24.47,1.787,11,10,122.16,354.61,97.83
B0080,Packing,28.61,0.6097,2.02,0.347,1,1,123.56,354.42,98.59
B0081,Cutting,44.21,0.7409,7.49,0.459,4,3,118.08,343.57,98.02
B0081,Welding,53.34,0.8694,15.93,1.207,7,3,115.83,345.12,95.74
B0081,Assembly,62.3,0.9078,23.44,1.357,4,10,114.44,343.09,96.14
B0081,Packing,27.62,0.5978,3.42,0.299,2,1,117.12,327.95,98.09
B0082,Cutting,40.97,0.7228,5.85,0.308,3,2,114.72,342.14,97.65
B0082,Welding,52.69,0.8679,12.53,1.44,3,5,122.48,325.69,96.48
B0082,Assembly,61.5,0.9537,23.24,1.535,9,6,118.15,332.57,93.34
B0082,Packing,26.9,0.6015,3.25,0.392,2,1,117.6,356.48,98.15
B0083,Cutting,44.05,0.7247,6.85,0.653,3,2,117.36,323.99,95.2
B0083,Welding,53.43,0.8341,22.23,0.956,4,2,123.65,352.71,93.89
B0083,Assembly,66.05,0.9222,28.39,1.214,13,5,122.94,351.65,94.13
B0083,Packing,26.39,0.5887,3.72,0.242,1,1,117.04,334.45,96.46
B0084,Cutting,42.2,0.7456,7.78,0.457,2,4,123.01,341.55,93.18
B0084,Welding,52.67,0.8523,22.43,1.153,6,5,115.67,349.06,94.16
B0084,Assembly,62.36,0.9402,30.92,1.586,10,6,117.32,346.59,97.63
