shift_id,machine,Cycle_Time_min,util_pct,queue_parts,downtime_min,defects,rework_units,unit_price
S0013,Press 2,17.922,91.86,48.2,35.0,21,15,21.37
S0013,Press 3,8.911,48.55,6.4,7.9,2,1,21.18
S0014,Press 1,11.808,56.14,10.7,15.0,7,4,21.85
S0014,Press 2,16.952,91.8,35.4,39.9,16,12,22.15
S0014,Press 3,9.372,49.36,4.5,6.7,3,1,22.03
S0015,Press 1,12.195,56.34,15.4,17.5,8,2,20.95
S0015,Press 2,17.65,91.17,41.1,45.2,25,13,22.35
S0015,Press 3,9.137,48.68,3.2,10.6,2,1,21.68
S0016,Press 1,11.419,53.94,15.2,9.3,4,2,22.24
S0016,Press 2,16.591,89.86,51.5,32.5,17,12,21.23
S0016,Press 3,9.886,48.07,3.8,9.4,2,1,20.77
S0017,Press 1,12.297,54.63,7.3,19.0,5,3,21.7
S0017,Press 2,16.576,91.38,31.9,38.3,18,14,22.05
S0017,Press 3,9.361,47.07,4.4,9.2,2,1,21.05
S0018,Press 1,12.045,54.36,11.6,12.8,4,2,21.02
S0018,Press 2,17.502,93.3,57.2,46.2,24,15,21.15
S0018,Press 3,9.208,49.05,4.9,8.1,2,1,22.1
S0019,Press 1,11.559,53.35,8.4,9.3,5,2,21.41
S0019,Press 2,17.279,91.59,39.8,35.8,21,10,21.2
S0019,Press 3,9.47,49.01,4.8,5.5,2,1,21.07
S0020,Press 1,11.484,54.68,10.2,10.9,7,2,21.76
S0020,Press 2,16.878,92.6,57.2,25.5,16,13,22.14
S0020,Press 3,9.797,47.35,4.6,10.4,3,1,21.14
S0021,Press 1,11.993,56.04,11.9,18.9,6,3,20.94
S0021,Press 2,17.274,88.8,42.6,24.7,17,9,22.12
S0021,Press 3,9.913,48.71,6.5,9.3,1,1,21.24
S0022,Press 1,12.461,54.17,7.8,12.5,4,2,20.87
S0022,Press 2,17.69,91.19,32.3,45.0,14,7,22.12
S0022,Press 3,9.264,49.39,6.4,10.2,2,1,22.04
S0023,Press 1,11.323,55.07,15.2,19.5,6,3,22.34
S0023,Press 2,17.265,92.47,56.9,27.4,21,7,22.34
S0023,Press 3,9.451,48.74,4.1,6.3,2,1,21.4
S0024,Press 1,12.084,54.21,9.6,11.6,7,3,21.54
S0024,Press 2,18.274,91.26,51.8,52.2,20,12,22.1
S0024,Press 3,9.472,49.05,6.0,9.9,2,1,22.04
S0025,Press 1,12.483,53.84,15.9,10.8,7,4,21.62
S0025,Press 2,18.22,92.27,50.1,45.9,24,13,21.36
S0025,Press 3,9.673,48.92,6.5,10.7,2,1,21.28
S0026,Press 1,11.46,56.06,8.5,13.3,5,2,21.82
S0026,Press 2,18.108,89.8,33.2,48.4,14,8,21.81
S0026,Press 3,9.367,48.3,4.2,10.2,2,1,20.91
S0027,Press 1,11.51,54.49,12.0,14.7,4,3,22.29
S0027,Press 2,16.519,91.26,61.6,30.8,18,14,22.33
S0027,Press 3,9.869,47.49,5.3,8.3,2,1,21.21
S0028,Press 1,11.448,54.31,10.9,10.0,4,2,21.35
S0028,Press 2,17.598,88.97,38.0,37.3,20,8,21.37
S0028,Press 3,9.223,47.57,4.4,9.6,3,1,20.71
S0029,Press 1,11.43,56.14,13.0,16.2,6,2,20.86
S0029,Press 2,16.883,89.28,53.6,41.8,16,13,22.06
S0029,Press 3,9.142,46.62,4.1,6.4,2,1,20.94
S0030,Press 1,12.119,55.07,10.5,13.3,7,3,21.73
S0030,Press 2,17.383,92.35,66.0,40.7,25,11,21.9
S0030,Press 3,9.518,48.66,5.9,8.8,3,1,21.1
S0031,Press 1,12.67,56.34,11.0,13.6,4,3,22.02
S0031,Press 2,16.634,90.02,47.2,41.7,12,9,20.66
S0031,Press 3,9.401,49.21,5.9,8.0,3,1,22.27
S0032,Press 1,11.684,53.93,10.9,13.0,7,4,21.17
S0032,Press 2,18.228,92.38,65.9,34.3,26,15,21.45
S0032,Press 3,9.779,48.97,6.7,5.7,2,1,21.1
S0033,Press 1,11.484,54.31,15.3,19.4,4,3,21.21
S0033,Press 2,17.027,88.74,62.8,30.1,23,7,20.68
S0033,Press 3,9.466,47.57,3.6,8.7,2,1,21.69
S0034,Press 1,11.925,55.83,13.6,10.7,8,2,22.01
S0034,Press 2,18.499,88.31,66.9,30.0,14,7,22.06
S0034,Press 3,9.742,46.6,4.6,5.4,3,1,21.53
S0035,Press 1,11.862,56.09,16.8,13.9,6,3,22.17
S0035,Press 2,16.834,89.83,48.4,31.1,15,11,22.14
S0035,Press 3,9.281,46.73,4.6,9.9,2,1,20.8
S0036,Press 1,12.569,55.57,9.6,13.9,5,4,20.84
S0036,Press 2,17.477,88.8,63.5,44.1,15,8,22.2
S0036,Press 3,9.435,46.62,7.0,10.8,2,1,22.09
S0037,Press 1,12.001,55.46,16.0,8.8,6,2,20.91
S0037,Press 2,18.087,92.05,63.2,26.8,19,10,21.74
S0037,Press 3,9.715,49.34,3.1,7.5,1,1,21.13
S0038,Press 1,12.584,54.72,16.7,8.6,8,4,22.04
S0038,Press 2,17.9,90.23,63.5,42.9,22,14,21.48
S0038,Press 3,8.861,49.21,3.1,5.5,2,1,21.99
S0039,Press 1,12.52,53.59,9.5,9.8,5,2,21.53
S0039,Press 2,16.728,88.63,52.9,48.0,26,8,20.71
S0039,Press 3,9.3,48.62,5.3,4.9,2,1,22.1
S0040,Press 1,12.448,55.77,12.4,8.6,5,2,21.26
S0040,Press 2,16.729,89.24,44.1,53.9,12,7,21.4
S0040,Press 3,9.221,47.73,4.6,6.8,3,1,21.19
S0041,Press 1,12.064,54.16,16.3,18.6,8,2,22.13
S0041,Press 2,17.526,90.07,35.4,24.2,22,14,21.9
S0041,Press 3,9.507,46.93,6.1,7.5,2,1,22.03
S0042,Press 1,11.855,55.99,8.2,17.8,7,2,21.68
S0042,Press 2,18.45,89.62,44.8,41.8,15,12,21.95
S0042,Press 3,9.698,49.2,4.7,6.0,1,1,21.95
S0043,Press 1,11.997,55.78,12.0,12.1,6,4,22.32
S0043,Press 2,16.696,92.42,37.3,47.4,21,12,21.0
S0043,Press 3,9.794,46.79,4.6,8.6,2,1,21.56
S0044,Press 1,12.294,54.56,13.2,15.1,5,3,22.14
S0044,Press 2,17.579,88.62,62.8,42.0,23,10,21.3
S0044,Press 3,9.16,48.76,3.4,6.4,3,1,22.03
S0045,Press 1,12.256,55.58,9.2,11.2,5,4,20.76
S0045,Press 2,17.528,92.41,63.2,50.3,26,9,21.69
S0045,Press 3,9.243,46.71,4.1,5.8,2,1,22.07
S0046,Press 1,11.353,53.63,13.8,11.2,8,3,20.91
S0046,Press 2,18.452,90.34,63.7,47.0,12,13,21.8
S0046,Press 3,9.296,48.98,4.7,8.1,2,1,20.79
S0047,Press 1,11.942,55.57,9.1,14.8,8,3,21.99
S0047,Press 2,17.316,93.49,51.4,53.6,26,12,21.98
S0047,Press 3,9.253,48.91,5.6,10.0,3,1,20.97
S0048,Press 1,11.293,56.12,9.3,16.4,6,4,21.42
S0048,Press 2,17.699,90.82,49.9,50.0,15,13,21.84
S0048,Press 3,8.998,46.69,3.3,9.4,1,1,21.87
S0049,Press 1,11.659,53.82,11.1,10.8,5,3,21.31
S0049,Press 2,18.335,89.69,53.5,37.8,19,12,21.5
S0049,Press 3,9.737,49.37,4.0,10.0,2,1,21.15
S0050,Press 1,12.403,53.7,14.4,8.5,6,2,21.49
S0050,Press 2,16.881,88.38,59.5,24.2,16,9,21.67
S0050,Press 3,9.356,47.21,6.5,7.3,3,1,21.15
S0051,Press 1,11.911,54.73,10.0,14.5,8,3,20.84
S0051,Press 2,17.579,88.29,46.4,46.3,25,8,22.16
S0051,Press 3,8.938,48.63,5.9,10.7,1,1,21.39
S0052,Press 1,12.311,53.37,7.9,16.3,6,3,21.51
S0052,Press 2,17.672,90.15,51.0,28.5,21,7,21.49
S0052,Press 3,9.776,48.95,4.6,6.9,2,1,21.33
S0053,Press 1,11.283,53.73,9.8,16.5,7,2,20.99
S0053,Press 2,16.901,92.33,65.2,23.4,26,11,21.7
S0053,Press 3,9.606,47.06,6.6,8.1,1,1,22.32
S0054,Press 1,12.568,54.57,14.2,15.0,4,4,21.34
S0054,Press 2,16.576,90.57,46.0,48.4,25,13,20.7
S0054,Press 3,9.949,47.36,5.4,8.3,1,1,20.68
S0055,Press 1,12.504,56.02,14.9,11.1,8,2,22.28
S0055,Press 2,18.027,91.59,56.7,41.9,18,10,22.02
S0055,Press 3,9.047,49.1,6.4,5.9,3,1,20.92
S0056,Press 1,11.922,53.35,12.9,19.5,8,2,20.8
S0056,Press 2,16.966,91.77,40.7,50.9,16,7,21.95
S0056,Press 3,9.93,47.3,4.6,8.3,2,1,21.38
S0057,Press 1,11.525,56.14,9.1,13.8,6,3,21.24
S0057,Press 2,17.957,90.27,42.6,32.9,23,13,22.16
S0057,Press 3,8.977,48.37,6.5,6.8,2,1,22.1
S0058,Press 1,11.521,55.17,16.5,14.7,4,4,21.52
S0058,Press 2,18.399,88.99,47.3,31.8,15,14,21.19
S0058,Press 3,9.639,47.7,4.0,6.5,2,1,21.8
S0059,Press 1,11.304,54.88,12.4,18.7,4,4,21.09
S0059,Press 2,18.24,89.31,58.9,36.6,12,12,22.33
S0059,Press 3,9.957,47.6,4.0,7.1,3,1,21.87
S0060,Press 1,11.978,56.21,14.2,15.1,6,2,21.98
S0060,Press 2,17.214,92.79,54.6,26.3,13,14,21.41
S0060,Press 3,9.415,48.51,6.9,10.5,2,1,21.01
S0061,Press 1,11.737,53.69,12.5,15.2,6,4,21.32
S0061,Press 2,18.003,93.22,50.0,45.2,26,11,22.05
S0061,Press 3,9.716,47.14,6.6,10.1,3,1,21.59
S0062,Press 1,12.699,55.65,12.9,13.8,4,2,21.21
S0062,Press 2,18.276,93.38,65.0,34.6,12,12,21.06
S0062,Press 3,9.609,48.7,5.4,6.8,2,1,21.38
S0063,Press 1,12.173,55.44,11.0,16.3,8,3,21.24
S0063,Press 2,18.326,91.02,32.3,27.5,19,15,21.31
S0063,Press 3,8.986,48.92,4.1,5.2,3,1,21.44
S0064,Press 1,11.943,54.95,8.5,14.8,5,4,20.74
S0064,Press 2,16.531,88.39,63.9,41.1,23,13,21.58
S0064,Press 3,8.981,47.44,4.6,10.9,3,1,21.5
S0065,Press 1,12.05,53.76,11.3,18.0,6,3,21.11
S0065,Press 2,17.434,91.09,56.5,33.0,13,15,21.37
S0065,Press 3,9.427,48.22,5.1,6.9,2,1,20.66
S0066,Press 1,11.83,56.11,15.5,10.7,6,3,21.42
S0066,Press 2,17.684,88.58,56.2,39.6,18,8,21.93
S0066,Press 3,9.164,48.22,6.0,7.3,2,1,22.21
S0067,Press 1,12.129,55.83,15.1,10.2,6,4,22.26
S0067,Press 2,16.586,90.95,39.2,37.3,24,10,21.25
S0067,Press 3,9.234,47.08,4.2,5.1,1,1,21.4
S0068,Press 1,12.064,55.41,13.9,18.3,8,3,22.3
S0068,Press 2,16.463,92.34,47.5,33.7,26,14,20.94
S0068,Press 3,9.021,48.37,6.5,6.4,1,1,21.79
S0069,Press 1,12.281,55.61,15.3,16.5,6,2,21.68
S0069,Press 2,17.628,90.95,51.9,26.2,16,9,21.18
S0069,Press 3,8.906,48.1,3.2,11.1,2,1,21.2
S0070,Press 1,11.783,54.11,14.9,9.8,7,3,20.88
S0070,Press 2,18.51,90.39,52.7,46.2,19,15,21.47
S0070,Press 3,9.588,49.08,3.3,6.8,2,1,21.5
S0071,Press 1,12.482,54.81,14.4,14.9,8,4,22.29
S0071,Press 2,18.302,90.27,46.3,49.6,14,15,22.14
S0071,Press 3,9.423,47.28,3.2,10.2,1,1,21.66
S0072,Press 1,12.637,53.68,12.9,8.7,5,2,22.34
S0072,Press 2,16.953,89.56,41.4,47.7,22,12,22.17
S0072,Press 3,9.824,48.78,6.5,7.9,2,1,22.22
S0073,Press 1,11.374,54.56,13.7,14.9,5,2,22.11
S0073,Press 2,16.527,88.92,40.4,53.9,22,13,21.36
S0073,Press 3,8.945,48.77,5.9,6.6,2,1,21.86
S0074,Press 1,12.715,54.36,15.8,14.8,7,4,21.1
S0074,Press 2,17.401,90.39,65.8,51.2,21,15,22.25
S0074,Press 3,9.138,48.57,3.7,7.3,1,1,22.3
S0075,Press 1,11.76,55.81,12.1,17.9,8,4,21.69
S0075,Press 2,16.882,91.78,30.9,46.0,14,11,20.95
S0075,Press 3,9.286,49.17,5.4,9.0,3,1,21.58
S0076,Press 1,11.59,54.88,8.3,12.8,8,3,21.99
S0076,Press 2,16.978,92.12,37.5,32.6,19,15,21.34
S0076,Press 3,8.969,47.47,6.3,7.1,3,1,20.73
S0077,Press 1,11.709,55.62,12.7,12.7,7,2,21.0
S0077,Press 2,16.997,90.19,64.7,41.7,22,12,22.33
S0077,Press 3,9.69,47.48,5.2,9.9,3,1,21.09
S0078,Press 1,12.091,54.01,14.0,17.9,7,3,21.03
S0078,Press 2,17.434,89.94,50.3,48.4,22,7,21.77
S0078,Press 3,9.566,48.45,5.2,6.0,2,1,21.8
S0079,Press 1,12.596,56.35,8.3,17.8,8,4,21.84
S0079,Press 2,16.487,88.72,43.2,25.7,20,13,22.17
S0079,Press 3,9.523,49.04,6.1,10.9,1,1,22.19
S0080,Press 1,12.612,54.31,15.1,17.1,6,3,21.97
S0080,Press 2,17.072,92.74,46.0,29.0,21,15,21.44
S0080,Press 3,8.895,46.8,6.9,10.0,2,1,21.55
S0081,Press 1,12.02,56.64,8.6,10.7,5,3,21.44
S0081,Press 2,18.123,90.49,53.4,34.4,24,9,21.37
S0081,Press 3,9.15,47.87,5.6,9.1,2,1,22.27
S0082,Press 1,11.667,55.61,14.8,19.4,5,3,20.82
S0082,Press 2,18.326,90.29,29.6,23.9,26,7,22.23
S0082,Press 3,9.434,48.24,4.4,6.9,2,1,21.24
S0083,Press 1,11.751,53.81,9.6,16.5,7,3,21.84
S0083,Press 2,18.365,92.34,31.9,35.5,19,12,21.27
S0083,Press 3,8.846,46.61,4.3,5.8,2,1,21.82
S0084,Press 1,12.427,53.75,14.3,19.1,6,3,21.53
S0084,Press 2,18.021,90.33,60.0,38.9,24,13,21.71
S0084,Press 3,9.202,47.47,4.7,9.8,2,1,21.63
S0085,Press 1,11.862,54.16,12.8,15.6,8,4,22.28
S0085,Press 2,17.446,90.74,46.3,34.0,17,11,21.92
S0085,Press 3,8.973,48.86,3.6,5.2,2,1,22.31
S0086,Press 1,11.715,53.58,12.3,14.4,6,2,21.93
S0086,Press 2,18.087,91.36,39.6,28.3,20,15,22.02
S0086,Press 3,9.66,47.8,4.6,8.1,3,1,21.54
S0087,Press 1,12.386,55.27,7.3,10.2,6,3,22.18
S0087,Press 2,18.164,91.11,58.1,47.4,23,10,21.07
S0087,Press 3,9.869,48.33,3.8,7.8,3,1,20.7
S0088,Press 1,11.756,54.86,9.9,12.6,6,2,21.66
S0088,Press 2,17.302,91.85,39.6,26.3,25,12,21.88
S0088,Press 3,9.85,46.9,5.1,7.4,2,1,22.06
S0089,Press 1,11.373,53.56,9.5,17.3,5,4,21.39
S0089,Press 2,17.328,93.43,62.0,34.6,11,9,22.21
S0089,Press 3,9.252,47.91,5.4,5.9,2,1,21.7
S0090,Press 1,11.752,56.02,10.7,12.0,4,2,20.89
S0090,Press 2,18.035,89.3,31.4,32.5,15,12,21.73
S0090,Press 3,9.494,46.9,3.4,9.8,1,1,21.19
S0091,Press 1,11.388,54.53,14.7,14.9,6,2,21.69
S0091,Press 2,17.508,91.95,31.1,41.7,25,7,21.64
S0091,Press 3,9.348,48.9,5.5,5.4,2,1,21.64
S0092,Press 1,12.213,54.45,10.6,11.2,6,3,20.87
S0092,Press 2,18.536,92.02,29.1,34.2,13,12,21.7
S0092,Press 3,8.968,47.17,6.0,8.4,2,1,20.81
S0093,Press 1,11.849,55.46,10.2,13.8,5,4,21.85
S0093,Press 2,17.457,93.18,50.3,29.1,19,9,21.8
S0093,Press 3,8.939,46.71,4.7,9.9,3,1,20.65
S0094,Press 1,11.896,56.07,8.6,16.9,6,2,22.15
S0094,Press 2,17.081,92.38,30.4,23.9,21,13,21.77
S0094,Press 3,9.798,46.86,4.2,9.9,1,1,20.82
S0095,Press 1,12.226,54.75,9.4,11.7,6,3,21.45
S0095,Press 2,16.781,89.86,34.1,33.2,20,11,21.15
S0095,Press 3,9.617,47.96,7.0,7.8,2,1,21.75
S0096,Press 1,12.196,54.52,15.5,16.1,8,4,22.24
S0096,Press 2,16.558,92.18,65.9,35.8,13,12,21.83
S0096,Press 3,9.558,48.26,3.4,6.7,2,1,22.12
S0097,Press 1,12.636,56.27,16.0,15.9,6,2,21.65
S0097,Press 2,17.01,91.74,47.7,41.8,17,15,20.88
S0097,Press 3,9.457,48.77,6.4,6.7,3,1,21.25
S0098,Press 1,11.707,54.28,7.2,17.3,7,3,21.22
S0098,Press 2,16.823,91.84,48.9,40.2,21,15,21.62
S0098,Press 3,8.909,48.56,3.3,10.5,2,1,21.72
S0099,Press 1,12.634,53.84,8.9,9.4,5,2,21.03
S0099,Press 2,18.205,93.18,51.2,34.6,13,12,22.32
S0099,Press 3,8.847,48.17,3.0,10.7,2,1,20.92
S0100,Press 1,12.087,54.58,13.8,17.7,7,3,21.45
S0100,Press 2,16.952,91.12,53.7,26.4,27,11,20.75
S0100,Press 3,8.966,47.56,4.6,8.9,2,1,22.2
S0101,Press 1,11.634,54.51,10.8,9.4,5,4,21.64
S0101,Press 2,18.026,88.65,61.0,44.9,13,13,22.19
S0101,Press 3,9.604,47.01,4.1,8.0,2,1,20.93
S0102,Press 1,11.624,56.27,11.3,13.1,7,3,20.68
S0102,Press 2,18.094,89.66,49.7,27.1,18,10,22.13
S0102,Press 3,9.908,47.63,6.1,10.1,2,1,21.1
S0103,Press 1,12.079,55.01,16.1,12.8,4,4,21.19
S0103,Press 2,17.854,90.11,31.3,54.5,24,10,21.78
S0103,Press 3,8.896,48.85,6.7,11.0,3,1,21.48
S0104,Press 1,12.017,56.13,7.8,17.4,6,2,22.06
S0104,Press 2,17.423,93.25,40.8,44.7,21,14,21.67
S0104,Press 3,8.922,48.94,4.5,9.9,3,1,21.46
S0105,Press 1,11.508,55.25,10.0,12.0,4,2,21.83
S0105,Press 2,17.561,91.33,55.6,50.1,17,7,21.57
S0105,Press 3,9.162,46.69,6.7,6.7,2,1,20.93
S0106,Press 1,11.337,55.51,14.9,16.3,7,4,22.2
S0106,Press 2,17.47,92.2,37.1,36.1,15,12,21.29
S0106,Press 3,9.126,48.87,6.6,9.6,1,1,22.25
S0107,Press 1,12.048,55.77,14.1,15.9,5,3,21.09
S0107,Press 2,16.574,92.3,47.0,45.0,14,15,21.33
S0107,Press 3,9.799,46.82,3.9,7.7,2,1,20.82
S0108,Press 1,11.938,55.53,16.8,15.1,8,4,21.1
S0108,Press 2,17.727,91.6,53.3,34.9,19,12,20.98
S0108,Press 3,9.431,47.5,6.2,5.8,2,1,21.01
S0109,Press 1,11.953,53.72,14.1,9.9,8,2,21.12
S0109,Press 2,17.873,90.9,66.4,30.2,25,9,20.97
S0109,Press 3,9.225,47.45,3.6,10.0,3,1,20.92
S0110,Press 1,11.933,55.55,13.6,15.4,7,2,21.3
S0110,Press 2,18.49,89.61,34.2,34.8,23,15,21.46
S0110,Press 3,9.267,49.23,4.8,10.8,3,1,21.03
S0111,Press 1,11.354,53.83,14.2,11.9,7,2,21.34
S0111,Press 2,17.823,90.99,63.4,33.3,18,15,21.37
S0111,Press 3,9.43,47.75,3.6,4.9,2,1,22.07
S0112,Press 1,12.428,53.63,8.0,10.5,4,3,22.21
S0112,Press 2,18.475,90.06,56.0,52.1,12,14,20.64
S0112,Press 3,8.942,46.88,3.3,7.5,2,1,22.1
S0113,Press 1,12.143,56.16,16.0,19.0,4,2,21.84
S0113,Press 2,18.486,90.52,47.7,54.4,16,8,21.89
S0113,Press 3,8.939,48.25,6.1,7.3,2,1,22.22
S0114,Press 1,11.655,55.58,13.9,11.8,8,4,21.43
S0114,Press 2,16.915,90.09,59.2,25.0,15,7,21.33
S0114,Press 3,9.855,46.76,3.0,5.7,2,1,21.56
S0115,Press 1,12.072,54.57,9.0,16.3,4,2,20.65
S0115,Press 2,18.532,93.08,44.4,37.4,25,7,21.85
S0115,Press 3,9.852,47.33,5.6,5.2,1,1,21.91
S0116,Press 1,11.973,56.56,7.3,10.7,7,4,20.83
S0116,Press 2,17.951,91.89,35.2,54.4,23,13,21.77
S0116,Press 3,9.388,46.85,6.0,6.7,3,1,21.62
S0117,Press 1,12.357,56.62,8.7,18.0,4,3,20.77
S0117,Press 2,17.176,93.68,59.5,40.9,24,9,22.18
S0117,Press 3,9.316,47.51,3.8,6.5,2,1,21.38
S0118,Press 1,12.231,56.3,10.6,13.7,4,3,21.8
S0118,Press 2,16.454,88.9,49.3,47.8,12,11,21.09
S0118,Press 3,9.457,48.34,5.9,6.6,2,1,21.26
S0119,Press 1,12.686,56.22,16.3,12.1,5,4,22.22
S0119,Press 2,17.622,91.03,53.9,32.8,20,9,20.74
S0119,Press 3,9.34,47.23,4.8,6.6,1,1,21.53
S0120,Press 1,12.07,56.46,16.3,10.1,7,3,20.87
S0120,Press 2,17.698,90.69,47.8,45.9,16,10,21.06
S0120,Press 3,9.742,47.07,3.4,10.2,2,1,22.14
S0121,Press 1,11.316,55.84,12.1,15.3,6,3,21.35
S0121,Press 2,17.278,89.11,36.8,42.6,13,9,21.23
S0121,Press 3,8.877,48.33,3.1,6.4,1,1,22.12
S0122,Press 1,11.659,55.57,15.1,18.4,7,3,21.54
S0122,Press 2,18.425,88.51,51.5,37.1,16,10,21.41
S0122,Press 3,9.955,47.75,6.7,5.9,2,1,21.95
S0123,Press 1,11.646,53.74,13.2,13.3,8,3,22.1
S0123,Press 2,18.273,93.17,44.1,45.7,23,14,22.3
S0123,Press 3,9.406,47.44,3.8,10.9,2,1,22.16
S0124,Press 1,11.299,55.22,14.1,9.6,4,4,22.12
S0124,Press 2,18.364,93.17,41.3,35.4,16,7,20.81
S0124,Press 3,9.062,48.49,6.2,7.6,2,1,21.01
S0125,Press 1,12.504,53.64,10.1,8.5,6,3,20.79
S0125,Press 2,17.974,93.3,49.5,35.4,22,13,21.09
S0125,Press 3,9.553,48.13,3.2,9.5,2,1,21.09
S0126,Press 1,12.581,55.68,8.7,11.9,4,4,21.14
S0126,Press 2,17.999,89.55,66.7,26.7,12,11,22.06
S0126,Press 3,9.716,48.51,4.4,6.8,3,1,21.17
S0127,Press 1,11.616,56.13,14.5,12.4,4,4,20.68
S0127,Press 2,16.844,93.11,63.1,25.9,13,15,22.21
S0127,Press 3,8.904,48.96,3.8,7.5,2,1,22.0
S0128,Press 1,11.672,55.72,15.6,19.3,8,2,21.83
S0128,Press 2,17.412,91.66,42.1,29.9,12,7,21.97
S0128,Press 3,9.562,49.07,4.1,9.9,2,1,21.69
S0129,Press 1,12.62,53.67,14.6,18.0,8,4,20.97
S0129,Press 2,18.435,88.84,59.5,30.0,12,13,21.17
S0129,Press 3,8.88,48.57,6.3,5.5,3,1,21.89
S0130,Press 1,11.314,56.52,15.2,12.6,4,3,21.24
S0130,Press 2,17.063,93.73,33.7,30.9,20,12,21.35
S0130,Press 3,9.627,46.67,4.8,6.1,2,1,21.32
S0131,Press 1,12.578,56.29,14.6,17.1,4,4,21.36
S0131,Press 2,18.18,89.84,64.8,45.5,16,14,21.75
S0131,Press 3,9.385,47.21,6.9,8.8,2,1,22.17
S0132,Press 1,12.239,55.13,13.8,15.0,8,3,22.2
S0132,Press 2,17.897,91.73,49.7,28.5,20,14,21.03
S0132,Press 3,9.76,47.0,5.3,7.3,1,1,22.32
S0133,Press 1,12.514,54.62,14.8,18.6,5,4,21.23
S0133,Press 2,18.049,90.89,63.9,51.5,19,8,21.44
S0133,Press 3,9.053,49.2,5.1,9.8,1,1,20.71
S0134,Press 1,11.955,54.51,15.6,12.3,7,2,21.93
S0134,Press 2,17.171,90.54,46.4,27.3,20,9,21.88
S0134,Press 3,9.525,48.51,5.9,10.7,2,1,20.65
S0135,Press 1,11.391,53.47,15.5,8.8,5,4,21.12
S0135,Press 2,18.175,91.31,50.2,34.5,22,15,22.25
S0135,Press 3,8.854,47.55,3.9,8.3,1,1,20.92
S0136,Press 1,12.177,54.94,12.4,18.8,8,3,21.05
S0136,Press 2,18.163,92.86,34.6,29.9,12,15,20.71
S0136,Press 3,9.568,49.25,4.8,10.8,1,1,20.79
S0137,Press 1,11.657,55.89,10.5,12.0,7,2,21.74
S0137,Press 2,18.486,93.32,54.6,33.0,22,9,21.68
S0137,Press 3,8.899,48.0,6.2,8.9,2,1,20.79
S0138,Press 1,12.506,53.97,9.7,9.9,7,3,21.95
S0138,Press 2,17.241,89.5,30.1,25.4,21,8,20.94
S0138,Press 3,9.036,48.91,3.5,8.5,3,1,22.16
S0139,Press 1,12.446,53.92,12.7,17.2,8,2,21.04
S0139,Press 2,17.017,90.45,30.4,40.3,25,14,20.8
S0139,Press 3,9.721,47.27,4.8,5.7,2,1,21.84
S0140,Press 1,12.186,56.33,8.2,11.0,8,2,21.34
S0140,Press 2,16.699,88.58,66.6,40.3,16,11,21.82
S0140,Press 3,9.798,47.29,6.5,9.1,2,1,21.82
S0141,Press 1,12.511,54.96,13.5,12.2,6,4,22.15
